country,age,date,afr,gender,fertility_rate
Iran (Islamic Republic of),15-19,2002,0.030464447045661,Female,30.464447045661
Iran (Islamic Republic of),15-19,2003,0.0295988758575268,Female,29.5988758575268
Iran (Islamic Republic of),15-19,2004,0.0296197489993367,Female,29.6197489993367
Iran (Islamic Republic of),15-19,2005,0.02996296532623,Female,29.962965326229998
Iran (Islamic Republic of),15-19,2006,0.0300772080333987,Female,30.0772080333987
Iran (Islamic Republic of),15-19,2007,0.0298288846708764,Female,29.8288846708764
Iran (Islamic Republic of),15-19,2008,0.0295124257319399,Female,29.5124257319399
Iran (Islamic Republic of),15-19,2009,0.0293808861133193,Female,29.3808861133193
Iran (Islamic Republic of),15-19,2010,0.0293768431554103,Female,29.3768431554103
Iran (Islamic Republic of),15-19,2011,0.0293184263091309,Female,29.3184263091309
Iran (Islamic Republic of),15-19,2012,0.0291342013040978,Female,29.1342013040978
Iran (Islamic Republic of),15-19,2013,0.0288442243133951,Female,28.8442243133951
Iran (Islamic Republic of),15-19,2014,0.0284614695604023,Female,28.4614695604023
Iran (Islamic Republic of),15-19,2015,0.0279788569530553,Female,27.978856953055303
Iran (Islamic Republic of),15-19,2016,0.0273722913232846,Female,27.3722913232846
Iran (Islamic Republic of),15-19,2017,0.0266345428582232,Female,26.634542858223202
Iran (Islamic Republic of),15-19,2018,0.0259395358190705,Female,25.9395358190705
Iran (Islamic Republic of),15-19,2019,0.0256145188144436,Female,25.6145188144436
Iran (Islamic Republic of),20-24,2002,0.153295871031435,Female,153.29587103143498
Iran (Islamic Republic of),20-24,2003,0.147811988121592,Female,147.81198812159198
Iran (Islamic Republic of),20-24,2004,0.14383678093879,Female,143.83678093878999
Iran (Islamic Republic of),20-24,2005,0.140165568782633,Female,140.16556878263302
Iran (Islamic Republic of),20-24,2006,0.135477996386225,Female,135.47799638622502
Iran (Islamic Republic of),20-24,2007,0.129195397554729,Female,129.195397554729
Iran (Islamic Republic of),20-24,2008,0.122056081008433,Female,122.056081008433
Iran (Islamic Republic of),20-24,2009,0.115489079343262,Female,115.48907934326199
Iran (Islamic Republic of),20-24,2010,0.110494721506463,Female,110.494721506463
Iran (Islamic Republic of),20-24,2011,0.107273038448006,Female,107.27303844800599
Iran (Islamic Republic of),20-24,2012,0.105467805993225,Female,105.467805993225
Iran (Islamic Republic of),20-24,2013,0.104552320186476,Female,104.55232018647601
Iran (Islamic Republic of),20-24,2014,0.104054344187684,Female,104.054344187684
Iran (Islamic Republic of),20-24,2015,0.103568976782591,Female,103.568976782591
Iran (Islamic Republic of),20-24,2016,0.102802727190594,Female,102.802727190594
Iran (Islamic Republic of),20-24,2017,0.101534704109998,Female,101.534704109998
Iran (Islamic Republic of),20-24,2018,0.0997558013541287,Female,99.7558013541287
Iran (Islamic Republic of),20-24,2019,0.0987435840145402,Female,98.7435840145402
Iran (Islamic Republic of),25-29,2002,0.106150831664611,Female,106.150831664611
Iran (Islamic Republic of),25-29,2003,0.100380476007881,Female,100.380476007881
Iran (Islamic Republic of),25-29,2004,0.0976347513945707,Female,97.6347513945707
Iran (Islamic Republic of),25-29,2005,0.096858987726434,Female,96.85898772643401
Iran (Islamic Republic of),25-29,2006,0.0968808088715597,Female,96.8808088715597
Iran (Islamic Republic of),25-29,2007,0.0972322346654238,Female,97.2322346654238
Iran (Islamic Republic of),25-29,2008,0.0983156985091502,Female,98.3156985091502
Iran (Islamic Republic of),25-29,2009,0.100470969748897,Female,100.47096974889699
Iran (Islamic Republic of),25-29,2010,0.103443646475892,Female,103.44364647589201
Iran (Islamic Republic of),25-29,2011,0.106784971766507,Female,106.784971766507
Iran (Islamic Republic of),25-29,2012,0.110135671938996,Female,110.135671938996
Iran (Islamic Republic of),25-29,2013,0.11322870225244,Female,113.22870225244
Iran (Islamic Republic of),25-29,2014,0.115780142581941,Female,115.78014258194099
Iran (Islamic Republic of),25-29,2015,0.117519266634661,Female,117.51926663466101
Iran (Islamic Republic of),25-29,2016,0.118349372305291,Female,118.349372305291
Iran (Islamic Republic of),25-29,2017,0.118304133771863,Female,118.304133771863
Iran (Islamic Republic of),25-29,2018,0.117994034844095,Female,117.994034844095
Iran (Islamic Republic of),25-29,2019,0.117934833559175,Female,117.934833559175
Iran (Islamic Republic of),30-34,2002,0.0722333125767197,Female,72.2333125767197
Iran (Islamic Republic of),30-34,2003,0.0700179738084497,Female,70.0179738084497
Iran (Islamic Republic of),30-34,2004,0.0691162836296058,Female,69.1162836296058
Iran (Islamic Republic of),30-34,2005,0.069145738713186,Female,69.14573871318599
Iran (Islamic Republic of),30-34,2006,0.069771884381001,Female,69.771884381001
Iran (Islamic Republic of),30-34,2007,0.0709802271516099,Female,70.9802271516099
Iran (Islamic Republic of),30-34,2008,0.072987518945824,Female,72.98751894582401
Iran (Islamic Republic of),30-34,2009,0.0757321206960269,Female,75.7321206960269
Iran (Islamic Republic of),30-34,2010,0.0786825552374339,Female,78.68255523743389
Iran (Islamic Republic of),30-34,2011,0.081251378573777,Female,81.251378573777
Iran (Islamic Republic of),30-34,2012,0.0830714254834195,Female,83.0714254834195
Iran (Islamic Republic of),30-34,2013,0.083903990407591,Female,83.903990407591
Iran (Islamic Republic of),30-34,2014,0.0836100093598371,Female,83.61000935983711
Iran (Islamic Republic of),30-34,2015,0.0822032397950849,Female,82.2032397950849
Iran (Islamic Republic of),30-34,2016,0.0799400691589572,Female,79.9400691589572
Iran (Islamic Republic of),30-34,2017,0.0771156356748898,Female,77.1156356748898
Iran (Islamic Republic of),30-34,2018,0.0742029426728448,Female,74.2029426728448
Iran (Islamic Republic of),30-34,2019,0.0729096693914718,Female,72.9096693914718
Iran (Islamic Republic of),35-39,2002,0.0492723744293304,Female,49.2723744293304
Iran (Islamic Republic of),35-39,2003,0.0462872913318652,Female,46.287291331865205
Iran (Islamic Republic of),35-39,2004,0.0446482799094588,Female,44.6482799094588
Iran (Islamic Republic of),35-39,2005,0.044017095482893,Female,44.017095482893005
Iran (Islamic Republic of),35-39,2006,0.0440195905397776,Female,44.0195905397776
Iran (Islamic Republic of),35-39,2007,0.0445494360512073,Female,44.5494360512073
Iran (Islamic Republic of),35-39,2008,0.0457459300320713,Female,45.7459300320713
Iran (Islamic Republic of),35-39,2009,0.0475579179613905,Female,47.5579179613905
Iran (Islamic Republic of),35-39,2010,0.0495519903008761,Female,49.5519903008761
Iran (Islamic Republic of),35-39,2011,0.05129385511408,Female,51.29385511408
Iran (Islamic Republic of),35-39,2012,0.052641574787768,Female,52.641574787768
Iran (Islamic Republic of),35-39,2013,0.0536647118691121,Female,53.6647118691121
Iran (Islamic Republic of),35-39,2014,0.0543830631091497,Female,54.383063109149695
Iran (Islamic Republic of),35-39,2015,0.0547565677158008,Female,54.7565677158008
Iran (Islamic Republic of),35-39,2016,0.0547439704036522,Female,54.7439704036522
Iran (Islamic Republic of),35-39,2017,0.0543257488649692,Female,54.3257488649692
Iran (Islamic Republic of),35-39,2018,0.0536958873399975,Female,53.6958873399975
Iran (Islamic Republic of),35-39,2019,0.0533789540470069,Female,53.3789540470069
Iran (Islamic Republic of),40-44,2002,0.0163099262611067,Female,16.3099262611067
Iran (Islamic Republic of),40-44,2003,0.0147765772201734,Female,14.7765772201734
Iran (Islamic Republic of),40-44,2004,0.0137851042827097,Female,13.7851042827097
Iran (Islamic Republic of),40-44,2005,0.0130299661994466,Female,13.0299661994466
Iran (Islamic Republic of),40-44,2006,0.0122458444191692,Female,12.2458444191692
Iran (Islamic Republic of),40-44,2007,0.0114087773697387,Female,11.4087773697387
Iran (Islamic Republic of),40-44,2008,0.0110496905538066,Female,11.0496905538066
Iran (Islamic Republic of),40-44,2009,0.0114361694621639,Female,11.4361694621639
Iran (Islamic Republic of),40-44,2010,0.0121031725975663,Female,12.103172597566301
Iran (Islamic Republic of),40-44,2011,0.0126850848498458,Female,12.6850848498458
Iran (Islamic Republic of),40-44,2012,0.0131387895797346,Female,13.1387895797346
Iran (Islamic Republic of),40-44,2013,0.0134712715915275,Female,13.4712715915275
Iran (Islamic Republic of),40-44,2014,0.0136908195645814,Female,13.690819564581401
Iran (Islamic Republic of),40-44,2015,0.0137925781973727,Female,13.7925781973727
Iran (Islamic Republic of),40-44,2016,0.0137926794154566,Female,13.7926794154566
Iran (Islamic Republic of),40-44,2017,0.01369977952338,Female,13.69977952338
Iran (Islamic Republic of),40-44,2018,0.0135110897728604,Female,13.5110897728604
Iran (Islamic Republic of),40-44,2019,0.0134073914690732,Female,13.4073914690732
Iran (Islamic Republic of),45-49,2002,0.00360486236764963,Female,3.6048623676496296
Iran (Islamic Republic of),45-49,2003,0.0031012251346957,Female,3.1012251346957
Iran (Islamic Republic of),45-49,2004,0.00277173063604365,Female,2.77173063604365
Iran (Islamic Republic of),45-49,2005,0.00250709631481968,Female,2.5070963148196803
Iran (Islamic Republic of),45-49,2006,0.00223742163163899,Female,2.23742163163899
Iran (Islamic Republic of),45-49,2007,0.00196343003968388,Female,1.9634300396838797
Iran (Islamic Republic of),45-49,2008,0.00172055134820719,Female,1.72055134820719
Iran (Islamic Republic of),45-49,2009,0.00153679849994895,Female,1.5367984999489501
Iran (Islamic Republic of),45-49,2010,0.00141541850131343,Female,1.4154185013134302
Iran (Islamic Republic of),45-49,2011,0.00134261389175481,Female,1.34261389175481
Iran (Islamic Republic of),45-49,2012,0.00131265211830986,Female,1.31265211830986
Iran (Islamic Republic of),45-49,2013,0.00132687266409925,Female,1.3268726640992499
Iran (Islamic Republic of),45-49,2014,0.00138277873141383,Female,1.38277873141383
Iran (Islamic Republic of),45-49,2015,0.00146364191763758,Female,1.46364191763758
Iran (Islamic Republic of),45-49,2016,0.00154073860332793,Female,1.54073860332793
Iran (Islamic Republic of),45-49,2017,0.00159187822752969,Female,1.59187822752969
Iran (Islamic Republic of),45-49,2018,0.00162367106719916,Female,1.62367106719916
Iran (Islamic Republic of),45-49,2019,0.00164856704865836,Female,1.64856704865836
Iran (Islamic Republic of),50-54,2002,1.22230028492228e-4,Female,0.122230028492228
Iran (Islamic Republic of),50-54,2003,1.05153206396009e-4,Female,0.10515320639600899
Iran (Islamic Republic of),50-54,2004,9.39810400687465e-5,Female,0.09398104006874651
Iran (Islamic Republic of),50-54,2005,8.50080870613015e-5,Female,0.0850080870613015
Iran (Islamic Republic of),50-54,2006,7.58642305566495e-5,Female,0.0758642305566495
Iran (Islamic Republic of),50-54,2007,6.65740006738538e-5,Female,0.0665740006738538
Iran (Islamic Republic of),50-54,2008,5.83387155640074e-5,Female,0.0583387155640074
Iran (Islamic Republic of),50-54,2009,5.21082097672558e-5,Female,0.0521082097672558
Iran (Islamic Republic of),50-54,2010,4.79925794938927e-5,Female,0.047992579493892705
Iran (Islamic Republic of),50-54,2011,4.55239944015532e-5,Female,0.0455239944015532
Iran (Islamic Republic of),50-54,2012,4.45080808802162e-5,Female,0.044508080880216204
Iran (Islamic Republic of),50-54,2013,4.49902567692628e-5,Female,0.0449902567692628
Iran (Islamic Republic of),50-54,2014,4.68858631763404e-5,Female,0.0468858631763404
Iran (Islamic Republic of),50-54,2015,4.96276903386755e-5,Female,0.0496276903386755
